IDX,발화자,발화문,카테고리,QA번호,QA여부,감성,인텐트,가격,수량,크기,장소,조직,사람,시간,날짜,상품명,상담번호,상담내순번
26098,c,B형 간염 접종 후에 항체가 안 생기면 계속 추가접종 해야 하나요?,병원,4176,q,m,외래_방법_질문,,,,,,,,,B형 간염 접종,4176,1
26099,s,3번까지 추가접종 하셔야 해요.,병원,4176,a,m,외래_방법_질문,,,,,,,,,,4176,2
26100,c,눈 정밀검사 결과는 바로 받아 볼 수 있나요?,병원,57884,q,m,외래_방법_질문,,,,,,,,,눈 정밀검사,57884,1
26101,s,일부 검사는 바로 받아 보실 수 있지만 나머지는 며칠 걸립니다.,병원,57884,a,m,외래_방법_질문,,,,,,,,,,57884,2
26102,c,치아미백 하고 나면 얼마나 오래 가요?,병원,19100,q,m,외래_방법_질문,,,,,,,,,치아미백,19100,1
26103,s,관리 잘 하시면 2년은 갑니다.,병원,19100,a,m,외래_방법_질문,,,,,,,,,,19100,2
26104,c,필러 시술은 주사로 찔러서 물질을 넣기만 하나요?,병원,57531,q,m,외래_방법_질문,,,,,,,,,필러 시술,57531,1
26105,s,"네, 주사로 해당 물질을 집어넣는 방식으로 진행됩니다.",병원,57531,a,m,외래_방법_질문,,,,,,,,,주사,57531,2
26106,c,발을 삐끗했는데 침 치료랑 뜸 치료 중에 뭐가 더 좋나요?,병원,20718,q,m,외래_방법_질문,,,,,,,,,침 치료|뜸 치료,20718,1
26107,s,발을 삐었다면 침 치료가 더 좋습니다.,병원,20718,a,m,외래_방법_질문,,,,,,,,,침 치료,20718,2
26108,c,저희 딸이 부정교합이 있는데 치아 교정을 몇 년 정도 해야 돼요?,병원,1696,q,m,외래_방법_질문,,,,,,,,,치아 교정,1696,1
26109,s,지금 따님의 치아 상태를 보면 1년 정도면 부정교합은 교정이 될 것 같아요.,병원,1696,a,m,외래_방법_질문,,,,,,,,,교정,1696,2
26110,c,지난 주에 시술받고 출혈이 있는데 응급실로 가면 진료받을 수 있나요?,병원,21079,q,m,외래_방법_질문,,,,,,,,,,21079,1
26111,s,"네, 지금 바로 응급실로 오세요.",병원,21079,a,m,외래_방법_질문,,,,,,,,,,21079,2
26112,c,저번에 자궁초음파와 유방초음파 같이 봤는데 다음 진료일에 결과 같이 들을 수 있나요?,병원,27130,q,m,외래_방법_질문,,,,,,,,,자궁초음파|유방초음파,27130,1
26113,s,네 같이 들으실 수 있습니다.,병원,27130,a,m,외래_방법_질문,,,,,,,,,,27130,2
26114,c,폐구균주사는 필수로 맞아야만 하는 건가요?,병원,41196,q,m,외래_방법_질문,,,,,,,,,폐구균주사,41196,1
26115,s,"아니요, 폐구균주사는 안 맞고 싶으면 안 맞아도 되는 주사입니다.",병원,41196,a,m,외래_방법_질문,,,,,,,,,폐구균주사,41196,2
26116,c,ct검사 하기전에 피검사도 해야 하나요?,병원,8720,q,m,외래_방법_질문,,,,,,,,,ct검사|피검사,8720,1
26117,s,"네, 피검사는 기본으로 진행합니다. ",병원,8720,a,m,외래_방법_질문,,,,,,,,,피검사,8720,2
26118,c,사랑니 뽑고 사우나 가면 안 돼죠?,병원,4101,q,m,외래_방법_질문,,,,,,,,,,4101,1
26119,s,"네, 사랑니 뽑으신 날은 사우나 가면 안 돼요.",병원,4101,a,m,외래_방법_질문,,,,,,,,,,4101,2
26120,c,마취크림 바르고 울쎄라 받는지 알려주시겠어요?,병원,53569,q,m,외래_방법_질문,,,,,,,,,울쎄라|마취크림,53569,1
26121,s,시술은 마취크림 바르고 해요.,병원,53569,a,m,외래_방법_질문,,,,,,,,,마취크림,53569,2
26122,c,여드름 치료 후에 자외선 차단제 바르면 외출해도 되나요?,병원,55132,q,m,외래_방법_질문,,,,,,,,,여드름 치료,55132,1
26123,s,"네, 자외선 차단제 꼭 바르시고 외출하셔야 합니다.",병원,55132,a,m,외래_방법_질문,,,,,,,,,,55132,2
26124,c,강아지 백신주사는 몸무게 몇 g부터 맞을 수 있을까요?,병원,21910,q,m,외래_방법_질문,,,,,,,,,백신주사,21910,1
26125,s,700g부터 맞을 수 있어요.,병원,21910,a,m,외래_방법_질문,,,,,,,,,,21910,2
26126,c,탈모 치료하면 머리에 직접적으로 침을 놓는 거죠?,병원,39506,q,m,외래_방법_질문,,,,,,,,,탈모 치료|침,39506,1
26127,s,"네, 머리의 탈모부위에 침을 놓습니다.",병원,39506,a,m,외래_방법_질문,,,,,,,,,침,39506,2
26128,c,뼈가 부러진 상태도 아닌데 왜 이렇게 부은 건가요?,병원,36353,q,m,외래_방법_질문,,,,,,,,,,36353,1
26129,s,뼈는 괜찮지만 인대가 좀 늘어나서 부은 거예요.,병원,36353,a,m,외래_방법_질문,,,,,,,,,,36353,2
26130,c,보톡스 맞은 날 술 마시는 건 부적절한 거 아니에요?,병원,35219,q,m,외래_방법_질문,,,,,,,,,보톡스,35219,1
26131,s,술 마시는 건 부적절한 거 맞아요.,병원,35219,a,m,외래_방법_질문,,,,,,,,,,35219,2
26132,c,효과가 있으려면 미백 시술  몇 회 받아야 할까요?,병원,37595,q,m,외래_방법_질문,,,,,,,,,미백 시술,37595,1
26133,s,효과를 보시려면 최소 3회는 받으셔야 효과가 있어요.,병원,37595,a,m,외래_방법_질문,,,,,,,,,,37595,2
26134,c,위내시경 내일 예약했는데 오늘 저녁부터 금식해요?,병원,39140,q,m,외래_방법_질문,,,,,,,,,위내시경,39140,1
26135,s,"네, 오늘 저녁식사 하시고 그 이후로 금식하시면 돼요.",병원,39140,a,m,외래_방법_질문,,,,,,,,,,39140,2
26136,c,어떤 게 영양주사 중에 제일 비싼 거예요?,병원,57733,q,m,외래_방법_질문,,,,,,,,,영양주사,57733,1
26137,s,이 영양주사가 제일 가격이 높은 겁니다.,병원,57733,a,m,외래_방법_질문,,,,,,,,,영양주사,57733,2
26138,c,이거 유지장치 세척은 어떻게 하나요?,병원,6140,q,m,외래_방법_질문,,,,,,,,,유지장치,6140,1
26139,s,흐르는 물로 간단히 세척하시면 됩니다.,병원,6140,a,m,외래_방법_질문,,,,,,,,,,6140,2
26140,c,유지장치는 얼마동안이나 해야하죠?,병원,17861,q,m,외래_방법_질문,,,,,,,,,,17861,1
26141,s,"네, 안내받은대로 유지장치 시간 잘 지켜서 껴주시면 돼요.",병원,17861,a,m,외래_방법_질문,,,,,,,,,,17861,2
26142,c,비염이 많이 심한데 침으로도 치료가 될 수 있을까요?,병원,43268,q,m,외래_방법_질문,,,,,,,,,침,43268,1
26143,s,"네, 심한 비염도 침으로 치료할 수 있습니다.",병원,43268,a,m,외래_방법_질문,,,,,,,,,침,43268,2
26144,c,막내 아들은 지금 5개월인데 이민비자검진 받을 때 피 뽑아야 하나요?,병원,41410,q,m,외래_방법_질문,,,,,,,,,,41410,1
26145,s,"아니요, 만 1세 이하는 신체 계측만 받으면 됩니다.",병원,41410,a,m,외래_방법_질문,,,,,,,,,,41410,2
26146,c,두피주사 시술 받고 주의할 점이 있나요?,병원,33746,q,m,외래_방법_질문,,,,,,,,,두피주사,33746,1
26147,s,네 시술 당일은 머리 감지마세요.,병원,33746,a,m,외래_방법_질문,,,,,,,,,,33746,2
26148,c,출산 예정일이 지났는데 진통이 내일까지 없으면 유도 분만해야 되는 건가요?,병원,53075,q,m,외래_방법_질문,,,,,,,,,유도 분만,53075,1
26149,s,"예, 진통이 내일까지 없으면 유도 분만해야 됩니다.",병원,53075,a,m,외래_방법_질문,,,,,,,,,유도 분만,53075,2
26150,c,피코레이저를 받은 당일에는 얼굴에 붉은기가 생기죠?,병원,28088,q,m,외래_방법_질문,,,,,,,,,피코레이저,28088,1
26151,s,"네, 얼굴에 붉은기가 살짝 생길 수 있습니다.",병원,28088,a,m,외래_방법_질문,,,,,,,,,,28088,2
26152,c,마취 풀리기 전까지 물도 못 마셔요?,병원,25072,q,m,외래_방법_질문,,,,,,,,,마취,25072,1
26153,s,"네, 아무것도 드시지 마세요.",병원,25072,a,m,외래_방법_질문,,,,,,,,,,25072,2
26154,c,이제 혈압이 정상으로 돌아왔는데 혈압약 그만 먹으면 안 됩니까?,병원,20730,q,m,외래_방법_질문,,,,,,,,,혈압약,20730,1
26155,s,"아뇨, 혈압약을 먹어서 관리가 된 거라 꾸준히 계속 드셔야 해요.",병원,20730,a,m,외래_방법_질문,,,,,,,,,혈압약,20730,2
26156,c,스케일링 후에 나오는 피는 빨아도 괜찮나요?,병원,5477,q,m,외래_방법_질문,,,,,,,,,스케일링,5477,1
26157,s,감염의 원인이 될 수 있으니 뱉거나 닦아주세요.,병원,5477,a,m,외래_방법_질문,,,,,,,,,,5477,2
26158,c,응급실에는 보호자는 못 들어가고 환자만 들어가야 해요?,병원,37101,q,m,외래_방법_질문,,,,,,,,,,37101,1
26159,s,"아니요, 환자와 함께 보호자 한 분도 같이 들어가실 수 있어요.",병원,37101,a,m,외래_방법_질문,,,,,,,,,,37101,2
26160,c,양수검사가 너무 비싼 것 같은데 반드시 해야 하는 건가요?,병원,40454,q,m,외래_방법_질문,,,,,,,,,양수검사,40454,1
26161,s,반드시 하셔야 하는 건 아니고 선택사항이에요.,병원,40454,a,m,외래_방법_질문,,,,,,,,,,40454,2
26162,c,수면제 먹어도 전혀 잠이 안 오던데 효과를 볼 수 있는 건가요?,병원,36455,q,m,외래_방법_질문,,,,,,,,,수면제,36455,1
26163,s,지금 드시는 게 효과가 없다면 약을 한 번 바꿔 봐야 할 것 같은데요.,병원,36455,a,m,외래_방법_질문,,,,,,,,,약,36455,2
26164,c,어깨 골절 깁스 언제까지 하고 있어야 되나요?,병원,23417,q,m,외래_방법_질문,,,,,,,,,깁스,23417,1
26165,s,환자분 같은 경우는 깁스 최소 한 달은 더 하고 계셔야 합니다.,병원,23417,a,m,외래_방법_질문,,,,,,,,,,23417,2
26166,c,자꾸 잇몸이 교정기 때문에 상처 나는데 어떤 방법을 사용하면 괜찮을까요?,병원,56346,q,m,외래_방법_질문,,,,,,,,,교정기,56346,1
26167,s,많이 긁히는 부분 말씀해 주시면 진료 때 살펴 드릴게요.,병원,56346,a,m,외래_방법_질문,,,,,,,,,,56346,2
26168,c,부정교합이 생긴 후에도 치아 교정은 가능한가요?,병원,32861,q,m,외래_방법_질문,,,,,,,,,치아 교정,32861,1
26169,s,"네, 치료할 수 있습니다.",병원,32861,a,m,외래_방법_질문,,,,,,,,,,32861,2
26170,c,이번에는 크라운을 씌워야 하죠?,병원,24190,q,m,외래_방법_질문,,,,,,,,,크라운,24190,1
26171,s,"네, 크라운을 씌워야 합니다.",병원,24190,a,m,외래_방법_질문,,,,,,,,,크라운,24190,2
26172,c,라미네이트 부작용 좀 알수 있을까요?,병원,21464,q,m,외래_방법_질문,,,,,,,,,라미네이트,21464,1
26173,s,지속적으로 관리하지 않으면 잇몸이 약해질 수 있어요.,병원,21464,a,m,외래_방법_질문,,,,,,,,,,21464,2
26174,c,심장사상충치료 기간 오래 걸리나요?,병원,19689,q,m,외래_방법_질문,,,,,,,,,심장사상충치료,19689,1
26175,s,열흘은 생각하셔야 합니다.,병원,19689,a,m,외래_방법_질문,,,,,,,,,,19689,2
26176,c,스케일링 하려면 마취 해야하나요?,병원,27761,q,m,외래_방법_질문,,,,,,,,,스케일링|마취,27761,1
26177,s,안하셔도 됩니다.,병원,27761,a,m,외래_방법_질문,,,,,,,,,,27761,2
26178,c,치아교정 후의 제 모습을 미리 알 수는 없을까요?,병원,19148,q,m,외래_방법_질문,,,,,,,,,치아교정,19148,1
26179,s,가상 그래픽으로 보여드리는 서비스가 있습니다.,병원,19148,a,m,외래_방법_질문,,,,,,,,,,19148,2
26180,c,크라운 치료 시 인공물은 잘 빠지게 되나요?,병원,5347,q,m,외래_방법_질문,,,,,,,,,크라운,5347,1
26181,s,"아니오, 잘 빠지지 않습니다.",병원,5347,a,m,외래_방법_질문,,,,,,,,,,5347,2
26182,c,저희 고양이가 털실을 먹었는데 혹시 개복해야 하나요?,병원,32037,q,m,외래_방법_질문,,,,,,,,,,32037,1
26183,s,먼저 검사부터 해 봅시다.,병원,32037,a,m,외래_방법_질문,,,,,,,,,,32037,2
26184,c,사랑니 발치하고 소염제 처방해 주시나요?,병원,4098,q,m,외래_방법_질문,,,,,,,,,사랑니 발치|소염제,4098,1
26185,s,"네, 염증 가라앉히는 소염제 처방해드려요.",병원,4098,a,m,외래_방법_질문,,,,,,,,,소염제,4098,2
26186,c,교정하고 나서 주의해야 할 사항 어떤 것들이 있는지 안내해 주실 수 있나요?,병원,56310,q,m,외래_방법_질문,,,,,,,,,교정,56310,1
26187,s,교정장치가 부착된 곳이 양치가 힘들기 때문에 관리를 세심히 해 주셔야 해요.,병원,56310,a,m,외래_방법_질문,,,,,,,,,교정장치,56310,2
26188,c,크라운을 새로 씌워야 하는 건가요?,병원,46332,q,m,외래_방법_질문,,,,,,,,,크라운,46332,1
26189,s,"아니요, 떨어진 부위만 다시 충전하면 됩니다.",병원,46332,a,m,외래_방법_질문,,,,,,,,,,46332,2
26190,c,여유시간이 별로 없는데 쌍꺼풀 수술 받는데 오래 걸려요?,병원,18124,q,m,외래_방법_질문,,,,,,,,,쌍꺼풀 수술,18124,1
26191,s,오래 걸리지 않고 30분 내로 끝납니다.,병원,18124,a,m,외래_방법_질문,,,,,,,,,,18124,2
26192,c,대장내시경 검사 받았는데 용종 있었나요?,병원,17420,q,m,외래_방법_질문,,,,,,,,,대장내시경,17420,1
26193,s,"네, 용종 1개 있으셔서 제거 했어요.",병원,17420,a,m,외래_방법_질문,,1개,,,,,,,,17420,2
26194,c,아이가 계속 토하고 설사하는데 무슨 병인가요?,병원,27041,q,n,외래_방법_질문,,,,,,,,,,27041,1
26195,s,장염인 것 같습니다.,병원,27041,a,m,외래_방법_질문,,,,,,,,,,27041,2
26196,c,투명교정 장치 교체 주기는 어느 정도 됩니까?,병원,54890,q,m,외래_방법_질문,,,,,,,,,투명교정 장치,54890,1
26197,s,2주 정도로 생각하고 계시면 됩니다.,병원,54890,a,m,외래_방법_질문,,,,,,,,,,54890,2
26198,c,교정할 때 잇솔질 하는 방법 설명해 주세요.,병원,57659,q,m,외래_방법_질문,,,,,,,,,교정,57659,1
26199,s,이쪽에서 치아모형으로 설명해 드리겠습니다.,병원,57659,a,m,외래_방법_질문,,,,,,,,,,57659,2
26200,c,리프팅 시술 어떤게 저하고 잘 맞을지 알고 싶습니다.,병원,21636,q,m,외래_방법_질문,,,,,,,,,리프팅 시술,21636,1
26201,s,볼 쳐짐이 심한 경우에는 울쎄라가 더 잘 맞으실 겁니다.,병원,21636,a,m,외래_방법_질문,,,,,,,,,울쎄라,21636,2
26202,c,요즘 이에 음식물이 많이 끼는데 스케일링해야 돼요?,병원,13721,q,m,외래_방법_질문,,,,,,,,,스케일링,13721,1
26203,s,"네, 음식물이 많이 끼면 스케일링해야 돼요.",병원,13721,a,m,외래_방법_질문,,,,,,,,,스케일링,13721,2
26204,c,크라운 치료는 금이 간 치아에도 가능한가요?,병원,5348,q,m,외래_방법_질문,,,,,,,,,크라운,5348,1
26205,s,"네, 치아를 감싸는 방식이라 가능합니다.",병원,5348,a,m,외래_방법_질문,,,,,,,,,,5348,2
26206,c,강아지 몸무게 700g 넘어야 백신주사 맞을 수 있어요?,병원,21920,q,m,외래_방법_질문,,,,,,,,,백신주사,21920,1
26207,s,"네, 몸무게 700g 넘어야 맞을 수 있어요.",병원,21920,a,m,외래_방법_질문,,,,,,,,,,21920,2
26208,c,지금 임신 중인데 독감 예방접종 맞아도 되는 거예요?,병원,1326,q,m,외래_방법_질문,,,,,,,,,독감 예방접종,1326,1
26209,s,"네, 독감 예방 접종은 임신 중에도 가능해요.",병원,1326,a,m,외래_방법_질문,,,,,,,,,독감 예방 접종,1326,2
26210,c,사랑니 발치 후 거즈는 얼마 동안 물고 있어야 하는 거예요?,병원,22111,q,m,외래_방법_질문,,,,,,,,,사랑니 발치,22111,1
26211,s,사랑니 발치 후에는 거즈를 2시간 동안 물고 있어야 합니다.,병원,22111,a,m,외래_방법_질문,,,,,,,,,사랑니 발치,22111,2
26212,c,고양이의 다리에 문제가 있어 보이는데 엑스레이를 찍어 보는 것이 나을까요?,병원,13185,q,m,외래_방법_질문,,,,,,,,,엑스레이,13185,1
26213,s,"네, 검진 후 엑스레이 찍어 보는게 좋을 것 같습니다.",병원,13185,a,m,외래_방법_질문,,,,,,,,,엑스레이,13185,2
26214,c,이 네뷸라이저 다 끝나려면 몇 분 남았나요?,병원,1578,q,m,외래_방법_질문,,,,,,,,,네뷸라이저,1578,1
26215,s,"예, 네뷸라이저 이제 3분 남았습니다.",병원,1578,a,m,외래_방법_질문,,,,,,,,,네뷸라이저,1578,2
26216,c,저는 물리치료도 같이 받아야 하는 상황인가요?,병원,36317,q,m,외래_방법_질문,,,,,,,,,물리치료,36317,1
26217,s,"네, 물리치료 같이 받으셔야 하는 상황입니다.",병원,36317,a,m,외래_방법_질문,,,,,,,,,물리치료,36317,2
26218,c,스케일링 받고 그날 밤에 술 마셔도 돼요?,병원,14181,q,m,외래_방법_질문,,,,,,,,,스케일링,14181,1
26219,s,"아니요, 스케일링 받으신 당일 밤 술 드시면 안 됩니다.",병원,14181,a,m,외래_방법_질문,,,,,,,,,스케일링,14181,2
26220,c,앞니만 따로 교정하면 기간이 어느 정도입니까?,병원,9683,q,m,외래_방법_질문,,,,,,,,,교정,9683,1
26221,s,기간은 6주 정도입니다.,병원,9683,a,m,외래_방법_질문,,,,,,,,,,9683,2
26222,c,디스크에 괜찮은 운동 뭐가 있을까요?,병원,17046,q,m,외래_방법_질문,,,,,,,,,,17046,1
26223,s,주변 근육을 만드는 운동을 해 주시면 좋아요.,병원,17046,a,m,외래_방법_질문,,,,,,,,,,17046,2
26224,c,요로결석은 결석이 배출될 때까지 그냥 기다리는 것 말고는 할 수 있는 게 없나요?,병원,23628,q,m,외래_방법_질문,,,,,,,,,,23628,1
26225,s,진통제랑 소염제는 처방해 드릴테니까 물을 많이 드셔보세요.,병원,23628,a,m,외래_방법_질문,,,,,,,,,진통제|소염제,23628,2
26226,c,스플린트는 찬물로만 씻어야 해요?,병원,9556,q,m,외래_방법_질문,,,,,,,,,스플린트,9556,1
26227,s,"네, 찬물로만 씻으셔야 합니다. ",병원,9556,a,m,외래_방법_질문,,,,,,,,,,9556,2
26228,c,앞니교정만 해도 효과가 충분히 있을까요?,병원,55004,q,m,외래_방법_질문,,,,,,,,,앞니교정,55004,1
26229,s,"네, 앞니교정만으로도 환자분은 충분하실 거예요. ",병원,55004,a,m,외래_방법_질문,,,,,,,,,앞니교정,55004,2
26230,c,사랑니 발치하고 무슨 약을 처방받게 되나요?,병원,39845,q,m,외래_방법_질문,,,,,,,,,사랑니 발치|약,39845,1
26231,s,진통제와 소염제 처방전을 드립니다.,병원,39845,a,m,외래_방법_질문,,,,,,,,,진통제|소염제,39845,2
26232,c,탈모 치료는 정수리에다 직접 침을 맞아야하는 거예요?,병원,39503,q,m,외래_방법_질문,,,,,,,,,탈모 치료|침,39503,1
26233,s,"네, 정수리에도 침을 놓아드립니다.",병원,39503,a,m,외래_방법_질문,,,,,,,,,침,39503,2
26234,c,제 요로결석은 크기가 꽤 큰 것 같은데 치료 없이 자연적으로 배출이 될 수도 있나요?,병원,45797,q,m,외래_방법_질문,,,,,,,,,,45797,1
26235,s,"예, 크기 때문에 자연 배출은 조금 어렵고 충격파로 깨야 될 것 같아요.",병원,45797,a,m,외래_방법_질문,,,,,,,,,충격파,45797,2
26236,c,유방 조직검사할 때 부분마취는 마취크림으로 하나요?,병원,26503,q,m,외래_방법_질문,,,,,,,,,유방 조직검사|부분마취|마취크림,26503,1
26237,s,"아뇨, 주사약물로 합니다.",병원,26503,a,m,외래_방법_질문,,,,,,,,,주사약물,26503,2
26238,c,충치 치료 직후 바로 스케일링 가능할까요?,병원,26765,q,m,외래_방법_질문,,,,,,,,,충치 치료|스케일링,26765,1
26239,s,"네, 합해서 치료 가능합니다.",병원,26765,a,m,외래_방법_질문,,,,,,,,,,26765,2
26240,c,고양이 치석 관리하려면 칫솔질은 매일 해야 하나요?,병원,26987,q,m,외래_방법_질문,,,,,,,,,,26987,1
26241,s,매일 하시면 좋지만 꼭 매일 하실 필요는 없습니다.,병원,26987,a,m,외래_방법_질문,,,,,,,,,,26987,2
26242,c,"손목이 아파서 치료를 받으려는데, 동시에 침 시술과 물리 치료를 받아도 괜찮나요?",병원,53706,q,m,외래_방법_질문,,,,,,,,,침 시술|물리 치료,53706,1
26243,s,"네, 동시에 받으실 수 있지만 정확한 건 직접 방문하셔서 상담을 받은 후에 알려드릴 수 있습니다.",병원,53706,a,m,외래_방법_질문,,,,,,,,,,53706,2
26244,c,위내시경 하려면 금식은 무조건적으로 해야 하죠?,병원,39154,q,m,외래_방법_질문,,,,,,,,,위내시경,39154,1
26245,s,"네, 금식 무조건적로 하셔야 해요.",병원,39154,a,m,외래_방법_질문,,,,,,,,,,39154,2
26246,c,소견서 있어야 신경외과 진료 볼 수 있죠?,병원,29772,q,m,외래_방법_질문,,,,,,,,,,29772,1
26247,s,"네, 소견서 있어야 진료 받으실 수 있죠.",병원,29772,a,m,외래_방법_질문,,,,,,,,,,29772,2
26248,c,진료보기 전에 꼭 혈압 재야 하나요?,병원,11092,q,m,외래_방법_질문,,,,,,,,,,11092,1
26249,s,네 혈압은 꼭 재셔야 합니다.,병원,11092,a,m,외래_방법_질문,,,,,,,,,,11092,2
26250,c,필러 시술할 때 여러 부위에 동시에 맞는 것도 가능한가요?,병원,57548,q,m,외래_방법_질문,,,,,,,,,필러,57548,1
26251,s,"네, 재료와 부위 상관없이 동시에 맞을 수 있습니다.",병원,57548,a,m,외래_방법_질문,,,,,,,,,,57548,2
26252,c,지금 생후 2개월인데 다음 로타바이러스 백신은 언제 맞으면 될까요?,병원,26500,q,m,외래_방법_질문,,,,,,,,,로타바이러스 백신,26500,1
26253,s,다음 로타바이러스 백신은 2개월 후에 맞으면 됩니다.,병원,26500,a,m,외래_방법_질문,,,,,,,,,로타바이러스 백신,26500,2
26254,c,턱 보톡스는 언제부터 효과 나타나요?,병원,22316,q,m,외래_방법_질문,,,,,,,,,턱 보톡스,22316,1
26255,s,1개월 후부터 효과가 나타나기 시작합니다.,병원,22316,a,m,외래_방법_질문,,,,,,,,,,22316,2
26256,c,인레이 치료 시 치아의 모양은 변형 되나요?,병원,5408,q,m,외래_방법_질문,,,,,,,,,인레이 치료,5408,1
26257,s,"아니오, 외형은 동일하게 치료 됩니다.",병원,5408,a,m,외래_방법_질문,,,,,,,,,,5408,2
26258,c,라미네이트 8개 하면 병원에 몇 차례 정도 와야 하나요?,병원,56698,q,m,외래_방법_질문,,8개,,,,,,,라미네이트,56698,1
26259,s,2주 동안 6~7회 와서 시술 받아 주시면 됩니다.,병원,56698,a,m,외래_방법_질문,,,,,,,,,,56698,2
26260,c,교정하고 있는데 스케일링 받을 수 있을까요?,병원,19445,q,m,외래_방법_질문,,,,,,,,,교정|스케일링,19445,1
26261,s,"네, 스케일링 받으셔도 돼요.",병원,19445,a,m,외래_방법_질문,,,,,,,,,스케일링,19445,2
26262,c,건강검진 금식하고 가야 하죠?,병원,17130,q,m,외래_방법_질문,,,,,,,,,건강검진,17130,1
26263,s,"네, 8시간 정도는 금식하고 와 주세요. ",병원,17130,a,m,외래_방법_질문,,,,,,,,,,17130,2
26264,c,공복 시 뜸 치료 가능한가요?,병원,26690,q,m,외래_방법_질문,,,,,,,,,뜸 치료,26690,1
26265,s,오랜 기간 공복상태인 경우 불가합니다.,병원,26690,a,m,외래_방법_질문,,,,,,,,,,26690,2
26266,c,치아미백을 하고 싶은데 대신 스케일링을 받아도 되는 건가요?,병원,44004,q,m,외래_방법_질문,,,,,,,,,스케일링,44004,1
26267,s,두 가지는 대체 가능한 시술이 아닙니다.,병원,44004,a,m,외래_방법_질문,,,,,,,,,,44004,2
26268,c,제 치아 신경치료 해야 될 정도인가요?,병원,9464,q,m,외래_방법_질문,,,,,,,,,신경치료,9464,1
26269,s,"아뇨, 신경치료는 안 하셔도 됩니다. ",병원,9464,a,m,외래_방법_질문,,,,,,,,,신경치료,9464,2
26270,c,위내시경 끝나고 바로 식사 가능할까요?,병원,22585,q,m,외래_방법_질문,,,,,,,,,위내시경,22585,1
26271,s,마취 다 풀리시면 드실 수 있어요.,병원,22585,a,m,외래_방법_질문,,,,,,,,,마취,22585,2
26272,c,이 정도 크기 상처에 사람 바르는 연고 발라줘도 되나요?,병원,25345,q,m,외래_방법_질문,,,,,,,,,,25345,1
26273,s,"네, 사람 바르는 연고 발라주셔도 돼요. ",병원,25345,a,m,외래_방법_질문,,,,,,,,,,25345,2
26274,c,턱 보톡스 맞으면 효과는 몇 개월 동안 지속되는 건지 알려주시겠어요?,병원,44510,q,m,외래_방법_질문,,,,,,,,,턱 보톡스,44510,1
26275,s,턱 보톡스 맞으시면 효과 지속 기간 알려드리겠습니다.,병원,44510,a,m,외래_방법_질문,,,,,,,,,턱 보톡스,44510,2
26276,c,도수치료는 어린이도 받을 수 있나요?,병원,24540,q,m,외래_방법_질문,,,,,,,,,도수치료,24540,1
26277,s,"네, 원장님이 환자를 보고 결정하십니다. ",병원,24540,a,m,외래_방법_질문,,,,,,,,,,24540,2
26278,c,일주일안에 검사랑 교정 다 할 수 있죠?,병원,19435,q,m,외래_방법_질문,,,,,,,,,교정,19435,1
26279,s,"네, 일주일 안에 다 해드릴게요.",병원,19435,a,m,외래_방법_질문,,,,,,,,,,19435,2
26280,c,위내시경 받기 전에 금식은 언제부터 해야 하나요?,병원,53902,q,m,외래_방법_질문,,,,,,,,,위내시경,53902,1
26281,s,음식 섭취를 전일 저녁 8시부터 하면 안 됩니다.,병원,53902,a,m,외래_방법_질문,,,,,,,8시,,,53902,2
26282,c,"봉독으로 치료를 받기로 했는데, 봉독은 가루로 된 건가요?",병원,2529,q,m,외래_방법_질문,,,,,,,,,봉독,2529,1
26283,s,"아니요, 봉독액으로 된 걸 사용하고 있습니다.",병원,2529,a,m,외래_방법_질문,,,,,,,,,봉독액,2529,2
26284,c,사랑니 발치하고 처방해 주시는 약은 어떤 것인가요?,병원,39846,q,m,외래_방법_질문,,,,,,,,,사랑니 발치|약,39846,1
26285,s,사랑니 발치 후에 진통제와 소염제를 처방해드리고 있습니다.,병원,39846,a,m,외래_방법_질문,,,,,,,,,사랑니 발치|진통제|소염제,39846,2
26286,c,울쎄라 받을 때 마취크림 바르고 하는 거 맞죠?,병원,8270,q,m,외래_방법_질문,,,,,,,,,울쎄라|마취크림,8270,1
26287,s,"네, 마취크림 바르고 하는 거 맞습니다.",병원,8270,a,m,외래_방법_질문,,,,,,,,,마취크림,8270,2
26288,c,치아교정하려면 꼭 발치를 해야만 하나요?,병원,55588,q,m,외래_방법_질문,,,,,,,,,치아교정|발치,55588,1
26289,s,구강상태에 따라 다르지만 환자분은 꼭 발치를 해야만 합니다.,병원,55588,a,m,외래_방법_질문,,,,,,,,,발치,55588,2
26290,c,마취크림 바르고 울쎄라 받는 거 아닌가요?,병원,53574,q,m,외래_방법_질문,,,,,,,,,울쎄라|마취크림,53574,1
26291,s,시술은 마취크림 바르고 하는 거 맞습니다.,병원,53574,a,m,외래_방법_질문,,,,,,,,,마취크림,53574,2
26292,c,"때운 게 떨어졌는데, 그 부위만 다시 때우면 되나요?",병원,24184,q,m,외래_방법_질문,,,,,,,,,,24184,1
26293,s,"네, 떨어진 부분만 다시 때우면 됩니다.",병원,24184,a,m,외래_방법_질문,,,,,,,,,,24184,2
26294,c,위내시경 끝나고 바로 식사 가능해요?,병원,22587,q,m,외래_방법_질문,,,,,,,,,위내시경,22587,1
26295,s,마취 다 풀리시면 식사 가능해요.,병원,22587,a,m,외래_방법_질문,,,,,,,,,마취,22587,2
